-1 1 3 5
7 7 4 2
0 1 3 5
7 7 4 2
0 1 3 5
7 6 4 3
0 1 4 6
6 6 5 4
0 2 4 5
6 6 5 4
0 2 3 5
6 6 6 5
0 2 3 5
5 6 7 7
0 1 3 4
5 7 8 8
0 1 2 3
5 7 9 9
0 1 2 3
6 8 10 9
0 0 1 4
7 9 10 9
-1 0 2 5
8 10 11 9
-1 0 2 5
9 11 10 8
-1 0 3 6
10 11 10 7
-1 1 4 7
10 11 9 5
-1 1 4 8
10 10 7 3
0 2 5 8
10 9 6 2
0 2 6 8
9 7 4 0
0 3 6 8
7 5 2 -1
1 3 6 7
6 3 0 -2
1 4 6 6
4 1 -1 -3
1 4 5 5
3 0 -2 -4
1 4 4 4
1 -1 -3 -4
2 3 3 2
0 -2 -4 -4
2 3 2 1
-2 -3 -4 -4
2 2 1 -1
-3 -4 -4 -4
1 1 0 -1
-3 -4 -4 -4
1 1 -1 -2
-3 -4 -4 -3
0 0 -1 -2
-3 -4 -4 -3
0 0 -1 -2
-3 -3 -3 -2
0 0 -1 -2
-2 -2 -2 -2
0 0 -1 -1
-1 -1 -1 -1
